time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.515689,1.4308205799,0.689524364154,-1.66168468848,2.14872358863,1.42200019037,1.68162643872,1.24175744779,0.0,-1.34606814137,-0.0421844716668,1.8864128739,2.11727698248,-1.65593226052,1.40090795454,-0.399601995244,0.0
0.515843,1.4308205799,0.689524364154,-1.66168468848,2.14872358863,1.42200019037,1.68162643872,1.24175744779,0.0,-1.34606814137,-0.0421844716668,1.8864128739,2.11727698248,-1.65593226052,1.40090795454,-0.399601995244,0.0
0.525895,1.4312040751,0.689140868958,-1.66053420289,2.14795659824,1.42161669517,1.68162643872,1.24290793338,0.0,-1.34568464617,-0.0414174812729,1.8871798643,2.11689348728,-1.65516527013,1.40052445934,-0.399985490441,0.0
0.535908,1.43197106549,0.689907859351,-1.66091769808,2.14834009343,1.42123319998,1.68200993392,1.24214094299,0.0,-1.34530115098,-0.0418009764699,1.8871798643,2.11727698248,-1.65593226052,1.40052445934,-0.399985490441,0.0
0.545942,1.43235456069,0.688757373761,-1.66168468848,2.14795659824,1.42123319998,1.68200993392,1.24175744779,0.0,-1.34568464617,-0.0418009764699,1.8867963691,2.11727698248,-1.65593226052,1.40014096414,-0.400368985638,0.0
0.555922,1.43197106549,0.689907859351,-1.66091769808,2.14834009343,1.42200019037,1.68200993392,1.24290793338,0.0,-1.34568464617,-0.0418009764699,1.8867963691,2.11766047768,-1.65631575572,1.40014096414,-0.400368985638,0.0
0.565956,1.43158757029,0.688757373761,-1.66168468848,2.14757310304,1.42161669517,1.68162643872,1.24214094299,0.0,-1.34530115098,-0.0418009764699,1.8867963691,2.11804397287,-1.65554876533,1.40129144973,-0.399985490441,0.0
0.575916,1.4308205799,0.689140868958,-1.66091769808,2.14795659824,1.42161669517,1.68200993392,1.24175744779,0.0,-1.34568464617,-0.0421844716668,1.8871798643,2.11766047768,-1.65554876533,1.40052445934,-0.399985490441,0.0
0.585926,1.43197106549,0.689907859351,-1.66130119328,2.14910708383,1.42123319998,1.68162643872,1.24214094299,0.0,-1.34568464617,-0.0418009764699,1.8867963691,2.11727698248,-1.65593226052,1.40052445934,-0.399601995244,0.0
0.595933,1.43158757029,0.689140868958,-1.66130119328,2.14872358863,1.42200019037,1.68200993392,1.24214094299,0.0,-1.34530115098,-0.0418009764699,1.8864128739,2.11766047768,-1.65554876533,1.40014096414,-0.400368985638,0.0
0.605918,1.4312040751,0.689140868958,-1.66091769808,2.14834009343,1.42200019037,1.68162643872,1.24175744779,0.0,-1.34568464617,-0.0414174812729,1.8867963691,2.11766047768,-1.65593226052,1.40090795454,-0.400368985638,0.0
0.615913,1.43005358951,0.689524364154,-1.66130119328,2.14757310304,1.42084970478,1.68124294352,1.24252443819,0.0,-1.34530115098,-0.0414174812729,1.8867963691,2.11766047768,-1.65478177493,1.40052445934,-0.400752480835,0.0
0.626169,1.4312040751,0.689140868958,-1.66091769808,2.14795659824,1.42200019037,1.68200993392,1.24252443819,0.0,-1.34568464617,-0.0418009764699,1.8867963691,2.11804397287,-1.65631575572,1.40052445934,-0.399985490441,0.0
0.635968,1.4304370847,0.689140868958,-1.66168468848,2.14910708383,1.42200019037,1.68162643872,1.24252443819,0.0,-1.34491765578,-0.0418009764699,1.8867963691,2.11727698248,-1.65516527013,1.40052445934,-0.399601995244,0.0
0.645942,1.43197106549,0.689140868958,-1.66053420289,2.14795659824,1.42161669517,1.68124294352,1.24252443819,0.0,-1.34530115098,-0.0421844716668,1.8864128739,2.11804397287,-1.65516527013,1.40129144973,-0.399985490441,0.0
0.655947,1.4312040751,0.687990383367,-1.66168468848,2.14680611265,1.42161669517,1.68124294352,1.24290793338,0.0,-1.34568464617,-0.0418009764699,1.8864128739,2.11766047768,-1.65554876533,1.39975746895,-0.399985490441,0.0
0.665955,1.4308205799,0.688373878564,-1.66130119328,2.14795659824,1.42084970478,1.68162643872,1.24214094299,0.0,-1.34606814137,-0.0418009764699,1.8871798643,2.11804397287,-1.65554876533,1.40090795454,-0.399601995244,0.0
0.675950,1.43158757029,0.689140868958,-1.66130119328,2.14757310304,1.42161669517,1.68124294352,1.24252443819,0.0,-1.34530115098,-0.0421844716668,1.8867963691,2.11727698248,-1.65593226052,1.40129144973,-0.400368985638,0.0
0.686012,1.43158757029,0.688373878564,-1.66091769808,2.14834009343,1.42200019037,1.68162643872,1.24175744779,0.0,-1.34645163657,-0.0418009764699,1.8864128739,2.11766047768,-1.65554876533,1.40052445934,-0.399985490441,0.0
0.695923,1.43273805588,0.689140868958,-1.66130119328,2.14795659824,1.42200019037,1.68200993392,1.24214094299,0.0,-1.34530115098,-0.0418009764699,1.8867963691,2.11766047768,-1.65593226052,1.40014096414,-0.399985490441,0.0
0.705894,1.43235456069,0.689524364154,-1.66168468848,2.14872358863,1.42084970478,1.68162643872,1.24252443819,0.0,-1.34606814137,-0.0421844716668,1.8867963691,2.11766047768,-1.65554876533,1.40014096414,-0.399985490441,0.0
0.715902,1.43005358951,0.689140868958,-1.66091769808,2.14834009343,1.42084970478,1.68124294352,1.24252443819,0.0,-1.34530115098,-0.0421844716668,1.8864128739,2.11766047768,-1.65554876533,1.40052445934,-0.400752480835,0.0
0.725928,1.4308205799,0.689140868958,-1.66091769808,2.14834009343,1.42161669517,1.68124294352,1.24290793338,0.0,-1.34568464617,-0.0410339860759,1.8867963691,2.11766047768,-1.65554876533,1.40052445934,-0.400368985638,0.0
0.735902,1.4308205799,0.689907859351,-1.66053420289,2.14757310304,1.42161669517,1.68047595313,1.24214094299,0.0,-1.34530115098,-0.0418009764699,1.8867963691,2.11727698248,-1.65554876533,1.40052445934,-0.399601995244,0.0
0.745922,1.4308205799,0.689524364154,-1.66091769808,2.14795659824,1.42123319998,1.68162643872,1.24175744779,0.0,-1.34568464617,-0.0421844716668,1.8864128739,2.11766047768,-1.65516527013,1.40052445934,-0.399218500047,0.0
0.755955,1.43197106549,0.688757373761,-1.66130119328,2.14795659824,1.42046620958,1.68124294352,1.24290793338,0.0,-1.34568464617,-0.0418009764699,1.8864128739,2.11804397287,-1.65516527013,1.40052445934,-0.400368985638,0.0
0.765916,1.43158757029,0.689140868958,-1.66130119328,2.14834009343,1.42123319998,1.68124294352,1.24214094299,0.0,-1.34568464617,-0.0414174812729,1.8864128739,2.11766047768,-1.65554876533,1.40129144973,-0.399985490441,0.0
