time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.566492,0.577543766639,0.225878671016,-2.0639711501,1.71077207369,1.22143220235,1.94777210542,0.373140826653,0.0,-0.956820516444,0.171422353046,1.93089831675,1.47875747952,-1.19688850975,1.67357303958,-1.7218934344,0.0
0.566574,0.577543766639,0.225878671016,-2.0639711501,1.71077207369,1.22143220235,1.94777210542,0.373140826653,0.0,-0.956820516444,0.171422353046,1.93089831675,1.47875747952,-1.19688850975,1.67357303958,-1.7218934344,0.0
0.576667,0.577160271442,0.224344690228,-2.06243716931,1.7100050833,1.22181569755,1.94853909581,0.372373836259,0.0,-0.956820516444,0.169504877061,1.93051482155,1.47837398432,-1.19650501455,1.67242255399,-1.7218934344,0.0
0.586712,0.577160271442,0.224728185425,-2.06243716931,1.71038857849,1.22181569755,1.94815560061,0.372373836259,0.0,-0.95720401164,0.170271867455,1.93089831675,1.47914097472,-1.19612151935,1.67242255399,-1.7218934344,0.0
0.596721,0.57869425223,0.225878671016,-2.0635876549,1.71038857849,1.22181569755,1.94815560061,0.372373836259,0.0,-0.95605352605,0.169504877061,1.93128181195,1.47837398432,-1.19612151935,1.67280604919,-1.7226604248,0.0
0.606870,0.578310757033,0.224728185425,-2.06320415971,1.71077207369,1.22219919275,1.94738861022,0.372757331456,0.0,-0.955670030853,0.170271867455,1.93089831675,1.47875747952,-1.19612151935,1.67242255399,-1.7222769296,0.0
0.616781,0.577927261836,0.225495175819,-2.06282066451,1.71038857849,1.22181569755,1.94777210542,0.372757331456,0.0,-0.95605352605,0.171422353046,1.93166530714,1.47914097472,-1.19573802416,1.67242255399,-1.7222769296,0.0
0.626692,0.577543766639,0.225111680622,-2.0643546453,1.7100050833,1.22219919275,1.94853909581,0.372757331456,0.0,-0.955286535656,0.169888372258,1.93128181195,1.47875747952,-1.19688850975,1.6716555636,-1.7215099392,0.0
0.636670,0.577543766639,0.225495175819,-2.0635876549,1.71077207369,1.22219919275,1.94777210542,0.372373836259,0.0,-0.95605352605,0.171038857849,1.93128181195,1.47875747952,-1.19612151935,1.6720390588,-1.7218934344,0.0
0.646700,0.577927261836,0.225878671016,-2.0639711501,1.7100050833,1.22219919275,1.94777210542,0.372757331456,0.0,-0.956820516444,0.170655362652,1.93051482155,1.47914097472,-1.19688850975,1.67242255399,-1.7222769296,0.0
0.656709,0.578310757033,0.225111680622,-2.0639711501,1.7100050833,1.22258268794,1.94738861022,0.37352432185,0.0,-0.956820516444,0.170655362652,1.93166530714,1.47875747952,-1.19688850975,1.67242255399,-1.7218934344,0.0
0.666700,0.576776776245,0.225111680622,-2.0635876549,1.7100050833,1.22181569755,1.94738861022,0.373140826653,0.0,-0.95720401164,0.170655362652,1.93128181195,1.47914097472,-1.19688850975,1.67242255399,-1.7218934344,0.0
0.676698,0.57869425223,0.225878671016,-2.06473814049,1.7096215881,1.22104870716,1.94738861022,0.372757331456,0.0,-0.957587506837,0.170655362652,1.93089831675,1.47914097472,-1.19612151935,1.67242255399,-1.7218934344,0.0
0.686694,0.577543766639,0.225495175819,-2.0635876549,1.71115556889,1.22219919275,1.94738861022,0.372373836259,0.0,-0.956820516444,0.171422353046,1.93128181195,1.47914097472,-1.19650501455,1.67280604919,-1.7222769296,0.0
0.696681,0.577927261836,0.225495175819,-2.0639711501,1.7096215881,1.22219919275,1.94815560061,0.373140826653,0.0,-0.956820516444,0.171422353046,1.93089831675,1.47875747952,-1.19650501455,1.67242255399,-1.72112644401,0.0
0.706674,0.577543766639,0.225878671016,-2.0643546453,1.7100050833,1.22143220235,1.94777210542,0.373140826653,0.0,-0.95720401164,0.171038857849,1.93089831675,1.47875747952,-1.19650501455,1.67357303958,-1.7218934344,0.0
0.716680,0.578310757033,0.225111680622,-2.0643546453,1.7100050833,1.22028171676,1.94738861022,0.371990341062,0.0,-0.957587506837,0.170655362652,1.93128181195,1.47914097472,-1.19650501455,1.67280604919,-1.7218934344,0.0
0.726672,0.577927261836,0.225111680622,-2.0635876549,1.71038857849,1.22143220235,1.94777210542,0.372373836259,0.0,-0.956437021247,0.171038857849,1.93089831675,1.47875747952,-1.19650501455,1.67280604919,-1.7218934344,0.0
0.736691,0.578310757033,0.225495175819,-2.06320415971,1.7092380929,1.22219919275,1.94738861022,0.373140826653,0.0,-0.956820516444,0.171038857849,1.93128181195,1.47914097472,-1.19650501455,1.67280604919,-1.7215099392,0.0
0.746706,0.577927261836,0.225111680622,-2.06320415971,1.7100050833,1.22219919275,1.94777210542,0.372757331456,0.0,-0.956820516444,0.170655362652,1.93089831675,1.47914097472,-1.19688850975,1.67357303958,-1.7222769296,0.0
0.756687,0.578310757033,0.225111680622,-2.06473814049,1.7092380929,1.22143220235,1.94777210542,0.373140826653,0.0,-0.956437021247,0.171422353046,1.93089831675,1.47914097472,-1.19688850975,1.67395653478,-1.7215099392,0.0
0.766682,0.57869425223,0.225878671016,-2.0643546453,1.71038857849,1.22219919275,1.94777210542,0.372757331456,0.0,-0.95720401164,0.169888372258,1.93128181195,1.47875747952,-1.19688850975,1.67357303958,-1.7218934344,0.0
0.776701,0.578310757033,0.225495175819,-2.0635876549,1.7096215881,1.22143220235,1.94777210542,0.372373836259,0.0,-0.956437021247,0.171038857849,1.93089831675,1.47914097472,-1.19612151935,1.67280604919,-1.7218934344,0.0
